Month,New Reports,Processed Reports,Backlog,Capacity,Actual Processed
3,50,7,43,145.02654421351903,94.02642092712169
4,41,7,77,145.02654421351903,118.66803795636154
5,39,12,104,145.02654421351903,134.21208542057587
6,57,5,156,145.02654421351903,105.97969475743906
7,34,15,175,145.02654421351903,138.40895769639803
8,35,4,206,145.02654421351903,129.20065116385817
9,49,7,248,145.02654421351903,116.58937543603227
10,44,8,284,145.02654421351903,101.5538868936238
11,37,10,311,145.02654421351903,137.23904048410967
12,51,11,351,145.02654421351903,130.2612732193607
13,45,11,385,145.02654421351903,130.4317596565329
14,43,15,413,145.02654421351903,144.66212985803065

Total Reports,525
Total Processed,112
Final Backlog,413

Processed Report Details
Month,Source,Risk Type,Supervision Cost,Accessibility,Potential Damage,Priority
3,expert,ethical,20.87543555939756,0.6432508386878916,4243.462765198641,7.912280666309092
3,expert,long-term societal impact,36.060481330131026,0.42838359764718753,1231.5067676514545,6.270151218834259
3,crowdsourcing,bias,8.19431233350067,0.29176404371727765,1755.0747475276607,6.240407815730792
3,crowdsourcing,robustness,14.588936093121022,0.6427447294702411,475.56939406084587,5.725771342836116
3,crowdsourcing,robustness,5.826094665197046,0.7727610666390682,237.9102601518106,5.219532710192147
3,crowdsourcing,bias,3.9151836293297726,0.8417046582968629,191.89392746015326,5.090788842654969
3,community,privacy,4.565977316444583,0.6239213261484836,211.5065221419035,4.890074126380861
4,crowdsourcing,ethical,15.05666022589124,0.4733974750368078,590.5215888619202,5.636757056184923
4,expert,security,45.43656637131642,0.35471658630871916,785.0744120011632,5.632926852981778
4,crowdsourcing,security,5.099015846293111,0.6684921594752036,287.5362390073758,5.263807291870571
4,expert,long-term societal impact,18.12888821274883,0.32783959375316585,498.35962062519667,5.10219308228739
4,community,privacy,13.347237869509273,0.5105009452456769,289.7076995061601,5.003248441305609
4,expert,robustness,12.799549155816663,0.5440151304994685,207.2413701936251,4.733936603322117
4,crowdsourcing,bias,8.80012027478601,0.8168628224463743,131.60131526750777,4.686752217467562
5,crowdsourcing,security,5.01741027508262,0.22483608073585934,1838.536580006949,6.026757747425498
5,crowdsourcing,ethical,5.712363656602221,0.5544353037613308,690.3290980567551,5.949972596906024
5,crowdsourcing,privacy,22.507816657215216,0.7518406568784776,469.88841826362176,5.870090996203942
5,community,bias,2.454458909765891,0.7143319621088765,281.1857788020736,5.307574333757397
5,community,content moderation,4.373543267714231,0.5079470223196492,291.72593438025956,5.0051624768605265
5,community,privacy,4.671608222574243,0.8156747095991586,117.33140286233738,4.571657434133056
3,expert,interpretability,54.669691134256176,0.37149822855266057,253.21353837411343,4.554596432158967
5,community,content moderation,7.236950648864059,0.7383823031038901,126.17222645050848,4.54503092487923
5,community,bias,3.8171689248687337,0.8155486512764627,107.90537247406493,4.4886597513319115
3,crowdsourcing,misinformation,9.38582794559763,0.08859323928513611,947.0381768162495,4.441487989697084
4,community,privacy,2.755183669373202,0.763251753559577,100.85453681665983,4.356419067787312
3,crowdsourcing,ethical,11.610062108661678,0.7628582265052476,97.3832219723651,4.321341904870131
6,expert,security,33.21917748182419,0.35804649169382846,17855.99055766651,8.763158302561095
6,expert,long-term societal impact,37.21388660782334,0.5759870107463181,984.9192975686767,6.342650718815986
6,crowdsourcing,misinformation,9.256713556693917,0.8981119370806863,534.2634602931112,6.175510431467791
6,community,privacy,11.720583929022688,0.6329743713278065,586.8951255750751,5.920209045874118
6,crowdsourcing,privacy,14.569333182074928,0.757430826825857,458.99643410506934,5.854091638426587
6,expert,ethical,47.140561083943915,0.6720187322351019,430.7190744747881,5.67143587334257
6,crowdsourcing,ethical,12.623844601520313,0.4770565149075127,458.82932164241004,5.3931161297835
7,crowdsourcing,ethical,3.389974924113205,0.4826259794489328,347.6074174224904,5.128503483443959
6,crowdsourcing,bias,7.0099072919308165,0.34769979002562207,466.7940876132386,5.095614757442151
6,expert,long-term societal impact,5.779254947354283,0.18750119112934824,775.9672138059808,4.986989775029349
7,community,bias,3.692079585380763,0.8524045669551118,149.86872719932848,4.857863122089461
6,crowdsourcing,security,4.9219654582431165,0.7029715074292732,179.8861330767902,4.84776199699114
6,expert,ethical,12.50658052539438,0.2966942959430356,395.3440602611308,4.773192727513801
6,crowdsourcing,bias,4.535536366307436,0.6384500279348253,180.03561323267303,4.753105093272878
7,community,privacy,4.54760827178299,0.9417648726663682,115.75130351303291,4.700575921353361
6,crowdsourcing,misinformation,4.896778219636264,0.5317936209275765,194.33938561671513,4.647735737062987
7,community,privacy,3.4781040122026146,0.6207647815989441,138.05935233759118,4.462481377082559
6,community,content moderation,7.16971895999711,0.933997276413135,89.78951384547922,4.441040093170965
6,community,user experience,3.991095968160731,0.7726487303715738,108.36612849628322,4.439457356688005
6,crowdsourcing,bias,12.725947480430056,0.5639643144612791,145.97327690573297,4.422733251016028
8,expert,security,42.38678603191535,0.5699057852419254,13003.900811081437,8.910855358445088
8,expert,AI alignment,31.965627104083012,0.5998096222738665,2246.8313808469816,7.206875002800316
8,expert,security,41.3915306141261,0.5118011869765685,834.838765004912,6.059757272231316
8,crowdsourcing,robustness,13.456707413733719,0.7300878758471498,496.30702328140177,5.895360338233732
9,expert,ethical,16.37629242796332,0.29992659441962505,8278.03301355582,7.817545830483819
8,expert,security,25.67985486308751,0.20734406974192918,1572.621460880701,5.790185631297198
9,community,bias,2.7373183770781453,0.5987914413595988,327.12988437147385,5.282607484901141
8,crowdsourcing,security,3.3005820716147776,0.32858053277977606,483.9820514864786,5.075343052995285
9,expert,robustness,44.2297480076802,0.15554994967892524,973.5628715338909,5.026755697222796
9,expert,AI alignment,19.753981644608334,0.4875788808089198,302.3697505144962,5.000107433783674
9,community,content moderation,4.5115980439999745,0.7459588587028465,170.94903557720843,4.856091906423461
10,crowdsourcing,privacy,2.7122572431019676,0.5816739883301205,1485.5803189797982,6.762872189383135
10,community,misinformation,6.734819606708758,0.7447988660128411,420.9332919541086,5.751017902323462
10,crowdsourcing,misinformation,5.462388341365689,0.8068229903142966,318.00988747166696,5.551321376967398
10,crowdsourcing,bias,8.169355400779848,0.7273131169818935,337.1375402471945,5.506162715808253
10,expert,AI alignment,48.015767082993044,0.39901321064142853,584.489623090787,5.456256921354879
10,community,privacy,2.733620929786209,0.6751110791000522,278.08200021437347,5.240350480798752
10,community,bias,7.699988796211507,0.6732424277117597,212.98452095895334,4.972519467621817
10,expert,security,20.025689492676776,0.44567465162261616,285.77649241347416,4.854864826329601
11,expert,AI alignment,23.457383090623576,0.28272552930042893,3197.6182755339455,6.807988333933271
11,expert,security,24.020762249609344,0.295780715583355,591.4714617524539,5.170176289771479
11,community,misinformation,3.9820144816281506,0.8236761794757971,202.65741725907338,5.12351201532089
11,expert,ethical,11.765575447770773,0.4273333727016192,336.3877541269018,4.9750061372219365
9,expert,AI alignment,43.714783917730564,0.19704323774269533,628.8956223943865,4.827670567623398
11,community,privacy,5.441795515592811,0.4853257294069769,250.80142081700563,4.809908454419169
9,community,user experience,3.884694367526737,0.9608822740181017,124.58853185478591,4.793431664840391
8,community,privacy,2.2439236233194477,0.8618965481646278,138.29081583622934,4.789093599225662
9,community,bias,2.4239478513997783,0.5244348809660011,220.3325238058511,4.758320887961768
11,crowdsourcing,misinformation,16.304159938908494,0.6768326290990442,140.44940717496885,4.564980715482716
12,community,misinformation,2.0373128902302824,0.8615746228150971,924.4995305074023,6.681513601288792
12,expert,interpretability,44.71121580229219,0.2591937837521681,1948.6343174216358,6.226682709772911
12,crowdsourcing,security,10.317843424376873,0.7023495256140182,695.6115795130441,6.193512059309973
12,expert,long-term societal impact,8.530411439687706,0.2958632937721881,702.4239094178275,5.341479587631293
12,crowdsourcing,ethical,8.64025374998577,0.7089100290393667,250.39615699496932,5.184635361620244
12,crowdsourcing,robustness,4.038657141634009,0.7338260470929596,213.86664830024662,5.062221020860162
12,crowdsourcing,security,14.625958182070933,0.2548351453248477,608.1112233712898,5.049651575979848
