Month,New Reports,Processed Reports,Backlog,Capacity,Actual Processed
3,40,10,30,140.50525551462655,111.12541082965116
4,40,9,61,140.50525551462655,133.13708643462795
5,49,13,97,140.50525551462655,129.77514817774625
6,36,8,125,140.50525551462655,106.85906902184762
7,41,10,156,140.50525551462655,105.61777352583158
8,40,11,185,140.50525551462655,121.1326224149128
9,42,10,217,140.50525551462655,124.2801634284738
10,41,9,249,140.50525551462655,80.31703463359504
11,42,7,284,140.50525551462655,135.37950255416547
12,33,14,303,140.50525551462655,131.14142317361626
13,38,9,332,140.50525551462655,90.1349949731186
14,45,8,369,140.50525551462655,130.57396604367818

Total Reports,487
Total Processed,118
Final Backlog,369

Processed Report Details
Month,Source,Risk Type,Supervision Cost,Accessibility,Potential Damage,Priority
3,crowdsourcing,misinformation,5.0195004365863936,0.6513401957490778,1567.0609451651692,6.929213185326779
3,crowdsourcing,robustness,19.201225586660037,0.5236609222177436,523.0599664418921,5.616429455321264
3,expert,security,23.353012126735983,0.5051275316181022,540.866135643116,5.613881020078974
3,expert,long-term societal impact,25.557273469923707,0.5195349817591043,398.1612581884306,5.336858531601705
3,community,misinformation,2.8321420300773776,0.7581481456462357,236.97833023670438,5.196642725408401
3,crowdsourcing,bias,5.850819468456047,0.623878471120009,274.8493876455055,5.150238474608829
3,crowdsourcing,security,6.212835228954659,0.7284979521802577,219.16467288314453,5.079296650815492
3,community,privacy,2.7845877710603872,0.8382499794113,167.25695583643017,4.950199561258688
3,expert,AI alignment,16.462204830798335,0.04638881588540113,1979.1651485576897,4.530566542983277
3,community,content moderation,3.851809880398219,0.5670918044679973,155.93452862034218,4.493447174894792
4,expert,robustness,21.298952324720624,0.5290982405692395,6450.856206475159,8.135679934483758
4,crowdsourcing,ethical,5.938475854217845,0.5245627227316646,771.6826715492172,6.005850479763879
4,expert,AI alignment,21.051786584567537,0.5435755765931246,447.2226015711411,5.497575042181621
4,community,bias,4.951669455580694,0.706691265744299,205.51276384999326,4.985208592742347
4,community,privacy,4.057312161183352,0.9072998185754566,100.36762332823272,4.522478843505492
3,expert,AI alignment,35.6190120497944,0.344741252218895,254.4976839625711,4.485663981910141
4,expert,AI alignment,32.31080428145037,0.5461197911495457,157.3274365887095,4.464983861912829
3,community,bias,1.7252621697050865,0.4671255092433899,183.65937800407636,4.46351422658555
3,crowdsourcing,privacy,6.183811553408022,0.5403262337044437,139.12560574185443,4.333009885966897
5,crowdsourcing,security,23.56582317180648,0.547231380006382,1627.525490246984,6.7930546353968575
5,expert,security,19.783721455886397,0.5375467396027745,1572.8914472881388,6.741113354833225
5,expert,ethical,14.047440849803857,0.5027868030869749,1109.1830717330643,6.3255815313608155
5,expert,robustness,10.57752231743907,0.49395397767801685,793.0428271177972,5.973113845513197
5,crowdsourcing,ethical,11.737926166489279,0.5737899355201806,631.644811659263,5.895590656771195
5,crowdsourcing,security,9.787902988782987,0.5607043743423954,446.24299998680283,5.526290843419305
5,community,misinformation,5.219810416609005,0.8119934372453114,238.77925979570526,5.272420888111963
5,crowdsourcing,misinformation,4.900237347175569,0.340993701470219,448.5494426545407,5.036644338951925
5,community,user experience,1.6358364542407773,0.855934853156209,146.86013535178554,4.841843463474562
5,crowdsourcing,misinformation,7.678169075109996,0.32500542614560035,296.7077320306844,4.57915082827612
5,community,misinformation,7.6606699321399905,0.869715291243379,89.70433226722785,4.3696659231636374
5,crowdsourcing,privacy,5.4590529800816165,0.42886207517070696,176.9766179385435,4.342487145852658
5,community,privacy,7.721035022181216,0.8176530188512047,87.51277557363571,4.284346068339532
6,crowdsourcing,privacy,6.538965258531109,0.5849363426395952,2646.0375749206924,7.345212176447373
6,crowdsourcing,ethical,5.436748028076887,0.7894432482804548,416.04933384599485,5.797416515846832
6,community,misinformation,14.558421323697745,0.7305685318945688,229.7392385816601,5.128953050462877
6,crowdsourcing,bias,12.764335807113714,0.3685889919240122,315.01990434003505,4.763138161889846
6,expert,AI alignment,39.45920075885051,0.18045941390954834,566.8430483932798,4.6375615193448905
6,community,content moderation,3.028459793438548,0.9547334413603061,84.47938562818156,4.402506661953443
6,expert,interpretability,12.096767197929287,0.4693707346363467,156.32366486604465,4.309103102975367
6,crowdsourcing,misinformation,12.976170854209837,0.5952006958555572,118.34194574099274,4.268818860411996
7,crowdsourcing,privacy,2.4425934863003387,0.602179607226504,785.1949307826667,6.160845178101465
7,expert,AI alignment,11.437438483393102,0.1506762392717125,2639.633840845775,5.988284747381603
7,expert,AI alignment,7.41125707858534,0.5070117482787919,614.4861984623757,5.744769965163153
7,crowdsourcing,privacy,17.076416092272886,0.6441691625047363,468.5920599335419,5.713246069263122
7,community,user experience,4.090739967823722,0.7085762562219035,364.05173470909284,5.556667489933132
7,crowdsourcing,ethical,9.781821778178102,0.402107472185681,380.19658019476105,5.036172335719509
